Header
54917:0766601323,5
133417:3453199332,7
23902:0753812851,8
196160:0425162028,7
51440:0671709232,9
273254:0140557741,8
234948:0786867906,5
84174:0060392452,10
143427:1551668777,6
231857:000653063X,10
63865:0140265686,9
39284:0312973055,7
197452:8439591667,8
48025:0060539860,10
142978:0671742647,7
21370:0451525140,7
13666:0130816795,6
147847:0671693816,8
119631:0440225701,7
76499:0684833395,10
122908:0743460529,5
242309:0789460440,8
171118:0425099202,9
121170:0743205383,8
106893:0349101779,6
81560:0553293354,9
160295:1558685464,8
93629:044630798X,7
267635:0440241073,6
137211:0345347226,8
108275:0770427162,8
238785:0140714774,8
168487:037329039X,7
113955:059002972X,9
203859:0060175273,6
35859:0394834550,10
86051:006053429X,8
94495:0316603570,8
16718:0446532452,8
173999:229030039X,9
189835:0394600932,5
507:0553576801,7
35859:0316693200,7
93047:0425018733,8
98391:0425194345,10
84831:3129399526,8
59554:0385334729,8
154992:1567225632,5
251642:0812519469,4
131855:0345387651,5
171970:0385413726,10
37300:0671625829,6
165418:038531258X,7
162639:0373836007,7
199416:0525945415,5
26583:0887722091,7
81848:0399146008,5
7346:0449146863,7
48736:020135473X,5
142387:0743486226,9
182452:0836218655,10
13850:089480829X,6
195278:068487217X,8
175108:0804112835,6
223912:0425157466,6
36715:0060952733,7
196053:0671042858,7
114446:0749396067,10
164581:0061007226,5
194146:2723433927,9
63184:0140433627,7
167644:0375706771,8
165758:0785813497,5
160340:074991811X,8
4017:1400061598,10
123056:0449218546,7
12272:0671027360,10
68760:0517590751,8
248718:0449130509,9
266753:0743223225,10
51944:0553052942,7
135776:0345444388,10
10314:1573222267,7
174830:0553280368,8
23725:8589665127,10
31539:0393050327,6
35532:0345390458,6
23902:0752802593,8
11676:0553262610,7
197659:0882404342,9
180909:00163329,10
193560:0330026844,6
267103:1557732922,4
116669:1903402913,5
182819:046500797X,7
11676:0770429394,7
11676:8489795983,5
197159:0380807343,7
115562:0553211765,9
217106:0140292926,8
35551:0553583611,5
131883:0964378906,10
84820:0486268780,7
78973:0740733087,7
150979:0671887289,6
18940:0751522406,8
42419:0345370775,10
141070:0671023063,8
187954:3442722497,5
98263:0006485707,10
235105:0060195339,8
92474:0375708707,4
69078:081120118X,8
47279:0316666343,10
125888:067976402X,5
125798:0446614459,8
11676:0671250930,6
255033:0385474989,8
45631:0679732268,8
88677:037351039X,5
36135:0452283205,8
67288:0312991509,7
226006:0821746847,10
231857:0743412028,8
70667:0330344749,6
69405:000649840X,5
137589:0440212723,9
81492:0804119996,9
267033:0312099436,9
8496:0345379020,5
86033:0646215280,5
253797:0345342968,10
29209:0679771476,8
224150:0590462776,6
151780:0345368436,7
240677:0802130208,10
180163:88094516530,8
678:0552996092,10
160431:0099289520,8
53241:0449202437,9
243213:2253002852,8
30276:068484267X,7
102702:0373691300,10
241799:034543739X,7
229329:0718115813,10
98391:0061052205,8
11676:0345314484,7
24933:1551669277,3
215470:0752851659,9
178597:0679736379,8
79861:0192833812,9
146803:0312969023,8
39396:0394728998,7
63714:0297841564,9
24960:0440236673,5
132282:0786868716,7
74172:2877300943,5
95193:0670894184,10
11676:0940322293,8
272052:0884199274,8
253556:0743224914,10
208829:1575665379,9
198741:0441172717,9
233911:1890320013,9
141902:1575662213,10
154595:076810209X,10
221777:0451408403,7
134529:043935806X,10
147686:0441005055,10
193898:0399149309,8
55490:0345337662,7
219181:9725644239,5
25981:0821736752,5
197503:0671880314,9
6575:0330297538,8
267830:0131830074,8
99051:0380797267,6
48025:0140058508,6
53942:0439136369,10
211603:0804115435,8
197529:9724204367,7
109783:13579108642,7
61296:0684844826,7
275970:0553107755,8
108267:0375506276,9
232959:0553207083,5
187462:0140620125,8
155559:0394589955,8
36484:1892016508,9
36715:0553213008,5
139494:8484502058,4
93363:0842365834,9
91017:0375504397,7
170762:0425158616,9
18401:0373117256,7
190374:0140430474,8
267572:0060938455,8
179978:0439309840,9
7426:0553213938,7
35859:0375808183,8
199041:0345350529,8
215139:006101351X,8
266854:0898794617,9
24105:0451208501,7
205487:1573182036,7
6564:9770104987002,7
195079:0915368587,9
98547:0099446650,10
245650:0451408683,7
90391:1566194431,5
71183:0553571885,7
37950:0804111898,7
35845:0684195984,6
101245:0062511173,10
92405:1410401766,9
114078:9062381979,6
223461:0316780375,8
32440:0531070301,8
132392:0345417623,7
104636:067100042X,8
70703:0099276186,8
70737:0970044208,10
203999:0393323307,7
43342:0760725160,9
235935:0743418204,10
86463:0805417737,8
114050:0892965606,6
149934:0061093092,5
26129:0658013777,7
242006:0373030819,9
105058:0743436210,7
259930:0061052507,10
264985:0689823959,8
93426:0440205611,8
259430:0451188454,8
39513:0770429033,8
187379:8485815475,10
275922:0786868716,9
90645:0749320346,10
69078:0375420673,8
42546:0345417623,7
173415:0307215504,10
31315:0399142282,10
234023:0064400042,10
231076:0802139450,10
50073:0345413881,9
251844:044022425X,8
132887:051513287X,7
229632:0373074093,5
248356:8439703899,10
121083:0440224772,8
211344:1558509801,6
273976:0595095380,3
18016:043906628X,7
84351:3499236257,8
69697:0671728555,8
254899:0915442841,7
268657:0688059147,5
177458:0140440518,8
120332:0345315014,6
196891:0312280696,6
68383:0385313535,9
97413:0395137195,10
244750:0060176660,5
43252:8387376108,6
86210:0812589041,9
257204:0345397231,10
12100:0099478110,7
239460:080213887X,5
246311:052594642X,8
218976:0671758799,6
58458:1840853344,10
98391:0804119937,8
116310:0060548266,10
160558:055323370X,10
88631:0060928336,5
63185:055214598X,3
105680:0140272038,8
190708:0440416795,10
170693:0061010995,5
168245:0380978563,9
65258:0130103187,6
88232:8887432651,6
78973:0006161308,8
130168:0671010093,5
93363:1564767868,4
254690:1567630766,6
36609:0452281768,7
77112:0375703055,7
149907:0393313166,9
150554:0064472795,6
109574:0836218817,5
105863:031242227X,8
196160:0380707691,6
239092:3596118042,10
229329:0140089179,10
262634:0380719223,5
189835:0886827396,5
221687:0895944030,10
130181:0060294698,9
138138:0938317644,10
174675:0195031849,5
57657:0743205413,6
171118:0553261096,7
218411:0312278713,10
49265:1559029838,4
144718:222610562X,6
126145:0425152251,10
110483:156305115X,7
238540:0440201969,7
80795:0446613843,5
165262:0099512009,10
12433:157322930X,8
176465:3442140277,3
141719:0345337662,7
160574:0688119158,6
189835:0783818947,5
95301:0552134643,10
107767:2070416801,9
10942:0395752833,5
271306:0061015725,8
66640:0380731851,9
243290:044022165X,8
114544:0375727345,8
266840:1563890895,8
75937:0449006565,5
26583:0908086393,8
189835:031214816X,5
11676:0140042326,7
190997:0140254501,8
148258:000764065X,9
234672:0142001384,10
165955:8882461521,7
11676:0425146421,8
160295:068481465X,9
28731:0316601950,5
105220:0689851324,5
116582:0192811649,7
72451:078825583,8
130847:0449211843,10
273176:0582426987,8
251844:0747564485,10
7629:0441371574,10
21330:0670891592,8
9568:0060926198,7
141902:0965378314,10
70133:0770428479,8
78673:044022814X,10
171359:743437802,10
192492:0380790963,7
148739:0440214041,5
81442:0806981547,7
247057:0385503822,7
21014:0425147622,8
144531:0060540753,9
127631:0679731806,7
114802:0671741195,8
31681:0586067353,9
76151:0373255632,10
189835:0451163443,5
92810:0944002153,6
114868:0345370805,6
245664:1576751252,10
30511:078670635X,7
109625:0373169388,7
139751:0609610597,6
244471:0345380371,6
49277:0449002632,9
176494:0061032034,7
98391:1576737365,9
159283:0192837028,8
90481:3499134780,7
107850:0440236665,9
217740:9684130555,6
240224:0446604844,8
227705:0425144429,7
217740:8427012683,8
94985:846630679X,9
85387:0743223136,8
156467:0743410602,10
28938:0060677007,10
264327:0451200187,5
118229:8440670265,6
242528:0679731148,7
31094:0553264435,7
85757:0871138743,7
127621:0312856989,10
55490:0688124097,10
58473:0399147101,9
254355:0451210638,10
125519:0446609404,10
68555:0515103969,6
207835:038549422X,10
134556:0156013924,10
237498:0064405842,7
259155:2020427850,7
94326:8807813998,5
176508:014025448,5
49109:0380718766,9
63714:0752839853,10
177458:0916211185,7
236948:0070645760,9
71587:0786885416,8
274658:0099244721,9
263733:3458327118,10
72992:2070363104,10
40922:0380705729,5
14232:2253153427,7
37712:0525945814,10
20666:8422634686,5
42597:0684857316,9
216444:0671637312,7
191638:0805063897,10
273507:0865472807,7
107799:8804507993,6
197427:8804427744,6
192037:0812574974,6
62532:0345391055,7
17859:0440218535,7
177284:0316776963,10
192906:0081325199,7
135149:038072605X,8
8245:0515131229,8
115614:0064406148,5
128835:0061092614,9
129855:0821740245,7
263585:2253140775,6
137803:0140620842,8
248547:0349117004,5
3757:8432222399,7
207499:0451199448,5
118135:0486656209,8
49423:0380872218,9
82407:0515120456,5
121130:038548518,7
56959:067125376X,10
11676:3442725542,6
37293:0743418131,7
222854:0207178674,9
496:0425182878,8
257204:0812524012,8
153723:0671737791,8
11676:206700011X,10
148804:0451408829,9
276762:3453092007,8
102702:0439064864,10
257492:0141002077,3
125021:091179722X,10
219671:0312867425,6
241548:0671867083,8
9063:0385494238,2
258938:067944999X,7
236340:1401300227,10
24194:0307130576,9
233564:0345313860,3
263733:3423125772,10
266865:0140442898,9
46541:0515132136,8
168034:0380817691,9
89307:037387250X,9
129008:0375758771,5
240616:0345373707,9
182085:0843936819,5
81263:156097432X,8
84882:0515120898,8
162219:0515090174,5
9571:3423085304,6
254465:0679746048,10
6990:0064408639,10
16086:009945341X,6
69967:0517476460,9
123883:0425153789,5
135265:1575668017,7
41532:0971942315,10
83287:0440214165,9
56654:0446611085,5
33933:0446360589,7
32148:0061009059,9
190033:0385240406,8
238613:0886776619,8
101851:0806961511,10
230374:3351029500,8
114865:072700624X,9
33408:8429446265,9
135688:0062509152,7
141444:0060976497,5
168245:0440123046,7
239535:0515124206,9
252865:0449223795,5
21252:039484825X,8
261825:0451524934,10
98391:0425191257,10
33145:2290340782,8
80266:0743442660,9
146539:055299703X,10
254292:006105044X,8
123982:3518365428,6
146561:0673393585,6
209516:0099272687,8
170184:0743449371,8
177690:0671787454,8
143875:0553348981,7
116786:0679824243,10
121912:0786885688,7
19145:1880985322,6
185233:0307119394,5
43118:8423951537,7
53590:0679751114,6
68760:0679774122,10
